Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,aston martin,ASX,Aston Martin,DB11,500TT5148,0,5.200,HASXV05.2AM5,Car,600,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.70,22.2,1,Not eqipped,HASX10045047,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0247000,0.4180000,466.8700000,0.0249000,,0.0076000,0.0045000,18.8,MPG,17.8390000,17.9850000,21.6350000,,-2.5300000,-1.7300000,-1.7100000,40.940,0.01690,0.027100,6.810,0.08070,0.024500,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,DB11,500TT5148,0,5.200,HASXV05.2AM5,Car,600,12,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.70,22.2,1,Not eqipped,HASX10045048,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0011550,0.0673340,285.0000000,0.0110000,,,,30.9,MPG,,,,,1.3600000,0.4400000,-0.5900000,40.940,0.01690,0.027100,6.810,0.08070,0.024500,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,4.000,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.70,22.2,1,Not eqipped,JASX10050824,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0265000,0.0700000,386.6600000,0.0290000,,0.0054000,0.0064000,22.7,MPG,22.7357000,21.7727000,24.8773000,,-11.9900000,-9.2600000,-7.7100000,40.940,0.01690,0.027100,11.260,0.09190,0.025100,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,4.000,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.70,22.2,1,Not eqipped,JASX10050825,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0300000,259.7400000,0.0020000,,,,33.8,MPG,,,,,-3.6400000,-3.2100000,-0.9600000,40.940,0.01690,0.027100,11.260,0.09190,0.025100,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032202,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0269000,0.5000000,511.9300000,0.0090000,,0.0066000,,17.3,MPG,17.4380000,15.9560000,20.4130000,,99.9900000,99.9900000,99.9900000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032203,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0008000,0.0600000,296.6300000,0.0010000,,,,29.9,MPG,,,,,99.9900000,99.9900000,99.9900000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032317,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0293000,0.3350000,536.1800000,0.0141000,,0.0048000,,16.5,MPG,16.7780000,15.1950000,19.5190000,,99.9900000,99.9900000,99.9900000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032318,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0375800,309.2200000,0.0017900,,,,28.7,MPG,,,,,99.9900000,99.9900000,99.9900000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022242,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0143000,0.1910000,510.0000000,0.0463000,0.0480000,0.0059000,,17.4,MPG,10.3000000,21.7000000,,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022243,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0711000,0.7680000,625.0000000,0.0420000,0.0040000,0.0235000,,14.2,MPG,,,,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
